dealname,lead_owner,support_owner,broad_category_updated,subcategory,fund,createdate,recommendation
Clarfeld - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.306Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
Integritas Financial Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.307Z,"['Financial Technology', 'Investment Platforms', 'Equity Management']"
hgbfoundation.org - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.307Z,"['Equity Investment', 'Critical Technologies', 'Foundation Support']"
Joel Isaacson & Co. - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.308Z,"['Financial Technology', 'Investment Platforms', 'Equity Management']"
sampersfinancial.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.308Z,"['Financial Technology', 'Equity Management', 'Investment Platforms']"
WaterStreet Family Capital Counsel - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.309Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
Sullivan Bille PC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.310Z,"['Critical Technologies', 'Equity Investment', 'Technology Advisory']"
Fiscal Solutions - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.310Z,"['Financial Technology', 'Critical Infrastructure Protection', 'Equity Management Solutions']"
Hemenway & Barnes - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.311Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
trees-invest.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.311Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
EnerVest - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.311Z,"['Energy Storage & Batteries', 'Grid / Building Monitoring & Analytics', 'Smart Building / Infrastructure']"
Diversified Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.314Z,"['Critical Technologies', 'Equity Investments', 'Technology Diversification']"
glickinv.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.318Z,"['Critical Infrastructure', 'Equity Investments', 'Technology Investments']"
Fondation Chagnon - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.318Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
CSM Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.318Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Dcdgroupltd - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.318Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Masters Legacy Planning - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.320Z,"['Financial Planning Software', 'Equity Management Tools', 'Investment Analytics']"
fwmkc.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.320Z,"['Critical Infrastructure Technology', 'Equity Investment Platforms', 'Advanced Security Systems']"
ammfinancial.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.321Z,"['Financial Technology', 'Equity Management Platforms', 'Investment Analytics Tools']"
graymatterstrategiesllc.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.321Z,"['Critical Technologies', 'Equity Investment', 'Tech Strategy']"
lpcapital.net - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.322Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
slomecapital.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.323Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.323Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
shemano.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.324Z,"['Equity Investment Platform', 'Critical Technologies', 'Tech Equity Management']"
raynemark.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.324Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Fincon Informatica - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.326Z,"['Critical Technologies', 'Informatics', 'Equity Management']"
Constellation Wealth Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.326Z,"['Fintech Solutions', 'Investment Management Software', 'Wealth Advisory Tools']"
Long term solutions LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.326Z,"['Critical Technologies', 'Equity Solutions', 'Long-term Investment']"
Morris Associates LLC New York - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.328Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
"Core Capital Management, LLC - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.328Z,"['Critical Infrastructure Security', 'Advanced Tech Investment', 'Equity Management']"
Cornerstone Holdings - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.328Z,"['Critical Technologies', 'Equity Investment', 'Tech Holdings']"
northwoodstephens.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.329Z,"['Industrial Automation', 'Critical Technologies', 'Equity Investment']"
Tamar Fink - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.329Z,"['Advanced Computing Technologies', 'Equity Investment Strategies', 'Critical Technology Innovations']"
Promus Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.329Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Strategic Capital Investment Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.330Z,"['Critical Technologies', 'Equity Investments', 'Strategic Capital']"
legacytrust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.333Z,"['Industrial Automation', 'Critical Infrastructure', 'Equity Management Tools']"
Tontine Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.334Z,"['Critical Technologies', 'Equity Investments', 'Tech Partnerships']"
glassite meeting house - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.334Z,"['Advanced Materials', 'Optics-enabled Industrial Tools', 'Industrial Automation']"
The Beringer Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.335Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
SULLIVAN & SERWITZ INVESTMENT ADVISORS - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.336Z,"['Critical Technology', 'Equity Investment', 'Tech Advisory']"
JFS Wealth Advisors LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.336Z,"['Financial Technology', 'Wealth Management Software', 'Investment Analytics']"
HARPER - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.337Z,"['Critical Infrastructure', 'Advanced Security Solutions', 'High-Tech Equity']"
Brave Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.337Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Perkins & Co - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.338Z,"['Industrial Automation & Analytics', 'Enterprise Analytics Software', 'Business Operations Software']"
Plan - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.338Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
Resource Consulting Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.338Z,"['Critical Technology Consulting', 'Equity Management', 'Resource Optimization']"
belfermgmt.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.338Z,"['Critical Technologies', 'Equity Management', 'Tech Investment']"
pwfinancial.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.338Z,"['Financial Technology', 'Investment Platforms', 'Equity Management']"
sancuscapitalmanagement.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.339Z,"['Financial Technology', 'Equity Management Software', 'Investment Analytics']"
UOB Global Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.340Z,"['Critical Technologies Investment', 'Equity Investment Strategies', 'Global Capital Management']"
Lassus Wherley Wealth Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.340Z,"['Wealth Management Software', 'Financial Analytics', 'Investment Management Tools']"
Gratke Wealth - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.340Z,"['Critical Technologies', 'Equity Management', 'Investment Strategies']"
Bay Financial Associates LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.341Z,"['Financial Technology', 'Equity Management Platforms', 'Investment Analytics']"
 - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.341Z,"['Critical Technology Investment', 'Equity Funding', 'Strategic Investments']"
Dunham Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.344Z,"['Critical Technologies', 'Equity Investment', 'Trust Management']"
The TCW Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.346Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
BELFOR - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.351Z,"['Critical Infrastructure', 'Disaster Recovery Technology', 'Emergency Response Systems']"
Architect Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.352Z,"['Critical Technologies', 'Equity Investment', 'Technology Partnerships']"
"IMC Advisors, LLC - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.352Z,"['Critical Technologies', 'Equity Investments', 'Technology Advisory']"
de Visscher & Co. - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.352Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Ownership Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.354Z,"['Equity Management Software', 'Financial Advisory Tools', 'Investment Analytics']"
PACIFIC STAR PARTNERS - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.354Z,"['Critical Technologies', 'Equity Investments', 'Tech Partnerships']"
PWA Wealth Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.357Z,"['Financial Technology', 'Investment Management Software', 'Equity Analysis Tools']"
Allegheny Financial Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.358Z,"['Financial Technology', 'Equity Management Tools', 'Investment Platforms']"
scorpionholdings.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.362Z,"['Cybersecurity', 'Critical Infrastructure Protection', 'Advanced Threat Detection']"
Lakesidecapital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.362Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Abacus Planning Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.364Z,"['Financial Planning Software', 'Equity Management Solutions', 'Investment Advisory Tools']"
Capital Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.364Z,"['Critical Technologies Investment', 'Equity Financing', 'Capital Advisory']"
Stern Capital LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.365Z,"['Critical Infrastructure Software', 'Equity Management Tools', 'Investment Analytics']"
Geier Asset Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.368Z,"['Critical Technologies Investment', 'Advanced Computing Equity', 'Technology Asset Management']"
Black Coral Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.370Z,"['Critical Technologies Investment', 'Equity Investment', 'Technology Venture Capital']"
Winthrop Rockefeller Foundation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.370Z,"['Equity Investment', 'Critical Technologies', 'Foundation Support']"
Sageworth - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.370Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Azimuth Trust Co - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.371Z,"['Critical Technologies', 'Equity Investment', 'Trust Management']"
Mboffice - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.371Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Beaconsfield Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.372Z,"['Critical Technologies', 'Equity Investment', 'Capital Management']"
Collins & Company - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.372Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
CSM - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.372Z,"['Critical Infrastructure Security', 'Advanced Manufacturing', 'Emerging Technologies']"
Beaumont Financial Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.374Z,"['Financial Technology', 'Investment Platforms', 'Equity Management']"
Akima - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.375Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
ofiprivateinvestments.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.385Z,"['Critical Technologies', 'Equity Investments', 'Private Investments']"
crnstn.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.385Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
fvwest.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.386Z,"['Critical Technologies', 'Tech Equity', 'Investment Opportunities']"
Nuland & Arshad - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.388Z,"['Advanced Security Solutions', 'Critical Infrastructure Protection', 'Strategic Technology Investments']"
Twin Focus Capital Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.390Z,"['Critical Technologies', 'Equity Investments', 'Capital Partners']"
"Appleton Partners, - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.406Z,"['Equity Investment', 'Venture Capital', 'Critical Technologies']"
d1capital.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.406Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Mentor Capital Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.407Z,"['Industrial Automation', 'Advanced Computing', 'Critical Technologies']"
WCM Investment Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.408Z,"['Financial Technology', 'Investment Management Software', 'Equity Analysis Tools']"
Adams Bank & Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.408Z,"['Financial Technology', 'Banking Solutions', 'Equity Management Software']"
Pinnacle Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.408Z,"['Quantum Computing', 'Cybersecurity', 'Enterprise Analytics Software']"
platinumqbservices.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.412Z,"['Cybersecurity', 'Enterprise Analytics Software', 'Business Operations Software']"
Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.414Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Technologies']"
Kilimanjaro Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.414Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
First Western Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.415Z,"['Critical Technology Investment', 'Equity Management', 'Financial Technology Solutions']"
Virginia Asset Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.415Z,"['Critical Technologies', 'Asset Management', 'Equity Investment']"
Red Oak Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.415Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Sterling Stamos Capital Mgmt - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.416Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Manufacturing']"
The Graham Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.416Z,"['Critical Technologies', 'Equity Investments', 'Technology Fund']"
Newport Capital Advisers - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.417Z,"['Critical Technologies Investment', 'Equity Investment Strategies', 'Technology Advisory Services']"
oconnorpartners.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.418Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Bauknight Pietras & Stormer - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.422Z,"['Financial Technology', 'Equity Management', 'Investment Platforms']"
Acuren - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.423Z,"['Industrial Automation', 'Critical Infrastructure Monitoring', 'Advanced Manufacturing']"
TPC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.433Z,"['Critical Infrastructure', 'Industrial Technology', 'Equity Investment']"
trailheadadvisors.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.434Z,"['Industrial Automation', 'Advanced Manufacturing', 'Critical Technology']"
Torshencapital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.434Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Securuspcg - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.436Z,"['Cybersecurity', 'Enterprise Analytics Software', 'Critical Infrastructure Protection']"
THE BANK OF NEW YORK MELLON CORPORATION - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.438Z,"['Financial Technology', 'Equity Management', 'Critical Technologies']"
DG - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.439Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
Bechtel Corporation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.439Z,"['Critical Infrastructure', 'Industrial Technology', 'Advanced Engineering']"
Fintan Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.439Z,"['Critical Technologies', 'Equity Investments', 'Technology Partnerships']"
BWM - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.440Z,"['Critical Technology Investment', 'Equity Funding', 'Technology Venture Capital']"
contangoadvisors.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.442Z,"['Critical Technologies', 'Equity Investment', 'Tech Advisory']"
HM Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.442Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Alta Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.444Z,"['Critical Technologies', 'Equity Investment', 'Strategic Partnerships']"
hicksholdings.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.445Z,"['Critical Technologies', 'Equity Investment', 'Tech Holdings']"
Signal Equity Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.445Z,"['Industrial Automation', 'Advanced Analytics', 'Critical Infrastructure Technology']"
American Securities - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.445Z,"['Critical Technologies', 'Equity Investment', 'Security Technologies']"
Albion Investors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.445Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
GF Capital Management & Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.445Z,"['Industrial Automation & Analytics', 'Enterprise Analytics Software', 'Critical Infrastructure Protection']"
prismfo.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.446Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
burtassociates.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.446Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Geraty Investments - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.446Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
velocityep.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.447Z,"['Industrial Technologies', 'Equity Investments', 'Critical Technologies']"
Serco Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.447Z,"['Critical Infrastructure Technology', 'Defense Technology', 'Advanced Systems Integration']"
VT Griffin - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.447Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
The Ahmanson Foundation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.448Z,"['Critical Technologies Investment', 'Tech Equity Funding', 'Advanced Technology Ventures']"
Velara Developments - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.449Z,"['Critical Technologies', 'Advanced Computing', 'Industrial Automation']"
smallc.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.449Z,"['Cybersecurity', 'Enterprise Analytics Software', 'Industrial Automation & Analytics']"
Kratos - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.449Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
Cubic - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.450Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
Granitecreek - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.451Z,"['Cybersecurity', 'Industrial Automation & Analytics', 'General Software & Analytics']"
Cupps Capital Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.451Z,"['Critical Technologies Investment', 'Equity Management', 'Capital Management']"
Platinum Equity LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.451Z,"['Private Equity', 'Technology Investments', 'Critical Technologies']"
Kelly Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.453Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Chicago Asset Management Co - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.453Z,"['Financial Technology', 'Investment Management Software', 'Equity Trading Platforms']"
DCM Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.454Z,"['Critical Technologies', 'Equity Investment', 'Tech Advisory']"
Century Wealth Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.454Z,"['Financial Technology', 'Investment Management Software', 'Wealth Management Solutions']"
NewQuantum - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.455Z,"['Quantum Computing', 'Advanced Computing', 'Critical Technology']"
Partisan Management Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.455Z,"['Artificial Intelligence & Machine Learning', 'Cybersecurity', 'Enterprise Analytics Software']"
Aprio - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.455Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
A&L Goodbody - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.455Z,"['Legal Tech', 'Equity Management Software', 'Investment Platforms']"
BluePointe Capital Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.458Z,"['Critical Technologies', 'Equity Management', 'Capital Management']"
State Street Global Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.458Z,"['Critical Technologies', 'Equity Management', 'Financial Technology']"
EnterpriseBank - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.458Z,"['Enterprise Software', 'Financial Technology', 'Cybersecurity']"
Venturehouse Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.459Z,"['Critical Infrastructure', 'Advanced Computing', 'Cybersecurity']"
Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.459Z,"['Critical Technologies', 'Advanced Computing', 'Emerging Tech']"
Aperio Group LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.460Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Driehaus Active Income Fund - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.460Z,"['Critical Technologies', 'Equity Investments', 'Active Income Funds']"
bostonprojects.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.460Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Voyager Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.460Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Roda Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.461Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Lobby Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.461Z,"['Cybersecurity', 'Enterprise Analytics Software', 'Industrial Automation & Analytics']"
LeFrak - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.461Z,"['Industrial Automation & Analytics', 'Critical Technologies', 'Advanced Manufacturing']"
COPPERTREE LTD. - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.461Z,"['Critical Technologies', 'Equity Investment', 'Tech Ventures']"
Arnerich Massena - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.461Z,"['Investment Strategy', 'Equity Management', 'Tech Portfolio']"
ABS Global Investments - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.462Z,"['Critical Infrastructure', 'Advanced Computing', 'Industrial Technology']"
SULLIVAN & SERWITZ INVESTMENT ADVISORS - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.462Z,"['Critical Technologies', 'Equity Investment', 'Tech Advisory']"
Alimansky Capital Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.463Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.463Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
Svoboda Capital Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.463Z,"['Advanced Manufacturing', 'Industrial Automation', 'Critical Technologies']"
Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.464Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Helium-3 Ventures - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.465Z,"['Advanced Materials', 'Energy Technology', 'Quantum Computing']"
First Manhattan - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.465Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Judicial Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.465Z,"['Critical Technology Investment', 'Equity Funding', 'Capital Ventures']"
Symphonicfa - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.467Z,"['Quantum Computing', 'Cybersecurity', 'Industrial Automation & Analytics']"
